,Code,Description1
4751,G0381008004,preceding the calendar year in which a determination under 42 cfr 489.24 is
4752,G0381009004,"being made, based on a representative sample of patient visits that occurred"
4753,G0381010004,"during that calendar year, it provides at least one-third of all of its"
4754,G0381011004,outpatient visits for the treatment of emergency medical conditions on an
4755,G0381012004,urgent basis without requiring a previously scheduled appointment)
4756,G0382001003,Level 3 hospital emergency department visit provided in a type b emergency
4757,G0382002004,department; (the ed must meet at least one of the following requirements: (1)
4758,G0382003004,it is licensed by the state in which it is located under applicable state law
4759,G0382004004,as an emergency room or emergency department; (2) it is held out to the public
4760,G0382005004,"(by name, posted signs, advertising, or other means) as a place that provides"
4761,G0382006004,care for emergency medical conditions on an urgent basis without requiring a
4762,G0382007004,previously scheduled appointment; or (3) during the calendar year immediately
4763,G0382008004,preceding the calendar year in which a determination under 42 cfr 489.24 is
4764,G0382009004,"being made, based on a representative sample of patient visits that occurred"
4765,G0382010004,"during that calendar year, it provides at least one-third of all of its"
4766,G0382011004,outpatient visits for the treatment of emergency medical conditions on an
4767,G0382012004,urgent basis without requiring a previously scheduled appointment)
4768,G0383001003,Level 4 hospital emergency department visit provided in a type b emergency
4769,G0383002004,department; (the ed must meet at least one of the following requirements: (1)
4770,G0383003004,it is licensed by the state in which it is located under applicable state law
4771,G0383004004,as an emergency room or emergency department; (2) it is held out to the public
4772,G0383005004,"(by name, posted signs, advertising, or other means) as a place that provides"
4773,G0383006004,care for emergency medical conditions on an urgent basis without requiring a
4774,G0383007004,previously scheduled appointment; or (3) during the calendar year immediately
4775,G0383008004,preceding the calendar year in which a determination under 42 cfr 489.24 is
4776,G0383009004,"being made, based on a representative sample of patient visits that occurred"
4777,G0383010004,"during that calendar year, it provides at least one-third of all of its"
4778,G0383011004,outpatient visits for the treatment of emergency medical conditions on an
4779,G0383012004,urgent basis without requiring a previously scheduled appointment)
4780,G0384001003,Level 5 hospital emergency department visit provided in a type b emergency
4781,G0384002004,department; (the ed must meet at least one of the following requirements: (1)
4782,G0384003004,it is licensed by the state in which it is located under applicable state law
4783,G0384004004,as an emergency room or emergency department; (2) it is held out to the public
4784,G0384005004,"(by name, posted signs, advertising, or other means) as a place that provides"
4785,G0384006004,care for emergency medical conditions on an urgent basis without requiring a
4786,G0384007004,previously scheduled appointment; or (3) during the calendar year immediately
4787,G0384008004,preceding the calendar year in which a determination under 42 cfr 489.24 is
4788,G0384009004,"being made, based on a representative sample of patient visits that occurred"
4789,G0384010004,"during that calendar year, it provides at least one-third of all of its"
4790,G0384011004,outpatient visits for the treatment of emergency medical conditions on an
4791,G0384012004,urgent basis without requiring a previously scheduled appointment)
4792,G0389001003,Ultrasound b-scan and/or real time with image documentation; for abdominal
4793,G0389002004,aortic aneurysm (aaa) screening
4794,G0390001003,Trauma response team associated with hospital critical care service
4795,G0396001003,Alcohol and/or substance (other than tobacco) misuse structured assessment
4796,G0396002004,"(e.g., audit, dast), and brief intervention 15 to 30 minutes"
4797,G0397001003,Alcohol and/or substance (other than tobacco) misuse structured assessment
4798,G0397002004,"(e.g., audit, dast), and intervention, greater than 30 minutes"
4799,G0398001003,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum"
4800,G0398002004,"of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and"
4801,G0398003004,oxygen saturation
4802,G0399001003,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4"
4803,G0399002004,"channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen"
4804,G0399003004,saturation
4805,G0400001003,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3"
4806,G0400002004,channels
4807,G0402001003,"Initial preventive physical examination; face-to-face visit, services limited"
4808,G0402002004,to new beneficiary during the first 12 months of medicare enrollment
4809,G0403001003,"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the"
4810,G0403002004,initial preventive physical examination with interpretation and report
4811,G0404001003,"Electrocardiogram, routine ecg with 12 leads; tracing only, without"
4812,G0404002004,"interpretation and report, performed as a screening for the initial preventive"
4813,G0404003004,physical examination
4814,G0405001003,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only,"
4815,G0405002004,performed as a screening for the initial preventive physical examination
4816,G0406001003,"Follow-up inpatient consultation, limited, physicians typically spend 15"
4817,G0406002004,minutes communicating with the patient via telehealth
4818,G0407001003,"Follow-up inpatient consultation, intermediate, physicians typically spend 25"
4819,G0407002004,minutes communicating with the patient via telehealth
4820,G0408001003,"Follow-up inpatient consultation, complex, physicians typically spend 35"
4821,G0408002004,minutes communicating with the patient via telehealth
4822,G0409001003,"Social work and psychological services, directly relating to and/or furthering"
4823,G0409002004,"the patient's rehabilitation goals, each 15 minutes, face-to-face; individual"
4824,G0409003004,(services provided by a corf-qualified social worker or psychologist in a corf)
4825,G0410001003,"Group psychotherapy other than of a multiple-family group, in a partial"
4826,G0410002004,"hospitalization or intensive outpatient setting, approximately 45 to 50 minutes"
4827,G0411001003,"Interactive group psychotherapy, in a partial hospitalization or intensive"
4828,G0411002004,"outpatient setting, approximately 45 to 50 minutes"
4829,G0412001003,"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing"
4830,G0412002004,"fracture(s), unilateral or bilateral for pelvic bone fracture patterns which do"
4831,G0412003004,"not disrupt the pelvic ring includes internal fixation, when performed"
4832,G0413001003,Percutaneous skeletal fixation of posterior pelvic bone fracture and/or
4833,G0413002004,"dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or"
4834,G0413003004,"bilateral, (includes ilium, sacroiliac joint and/or sacrum)"
4835,G0414001003,Open treatment of anterior pelvic bone fracture and/or dislocation for fracture
4836,G0414002004,"patterns which disrupt the pelvic ring, unilateral or bilateral, includes"
4837,G0414003004,internal fixation when performed (includes pubic symphysis and/or
4838,G0414004004,superior/inferior rami)
4839,G0415001003,"Open treatment of posterior pelvic bone fracture and/or dislocation, for"
4840,G0415002004,"fracture patterns which disrupt the pelvic ring, unilateral or bilateral,"
4841,G0415003004,"includes internal fixation, when performed (includes ilium, sacroiliac joint"
4842,G0415004004,and/or sacrum)
4843,G0416001003,"Surgical pathology, gross and microscopic examinations, for prostate needle"
4844,G0416002004,"biopsy, any method"
4845,G0417001003,"Surgical pathology, gross and microscopic examination, for prostate needle"
4846,G0417002004,"biopsy, any method, 21-40 specimens"
4847,G0418001003,"Surgical pathology, gross and microscopic examination, for prostate needle"
4848,G0418002004,"biopsy, any method, 41-60 specimens"
4849,G0419001003,"Surgical pathology, gross and microscopic examination, for prostate needle"
4850,G0419002004,"biopsy, any method, >60 specimens"
4851,G0420001003,Face-to-face educational services related to the care of chronic kidney
4852,G0420002004,"disease; individual, per session, per one hour"
4853,G0421001003,Face-to-face educational services related to the care of chronic kidney
4854,G0421002004,"disease; group, per session, per one hour"
4855,G0422001003,Intensive cardiac rehabilitation; with or without continuous ecg monitoring
4856,G0422002004,"with exercise, per session"
4857,G0423001003,Intensive cardiac rehabilitation; with or without continuous ecg monitoring;
4858,G0423002004,"without exercise, per session"
4859,G0424001003,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour,"
4860,G0424002004,"per session, up to two sessions per day"
4861,G0425001003,"Telehealth consultation, emergency department or initial inpatient, typically"
4862,G0425002004,30 minutes communicating with the patient via telehealth
4863,G0426001003,"Telehealth consultation, emergency department or initial inpatient, typically"
4864,G0426002004,50 minutes communicating with the patient via telehealth
4865,G0427001003,"Telehealth consultation, emergency department or initial inpatient, typically"
4866,G0427002004,70 minutes or more communicating with the patient via telehealth
4867,G0428001003,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi,"
4868,G0428002004,"collagen scaffold, menaflex)"
4869,G0429001003,Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome
4870,G0429002004,"(lds) (e.g., as a result of highly active antiretroviral therapy)"
4871,G0431001003,"Drug screen, qualitative; multiple drug classes by high complexity test method"
4872,G0431002004,"(e.g., immunoassay, enzyme assay), per patient encounter"
4873,G0432001003,"Infectious agent antibody detection by enzyme immunoassay (eia) technique,"
4874,G0432002004,"hiv-1 and/or hiv-2, screening"
4875,G0433001003,Infectious agent antibody detection by enzyme-linked immunosorbent assay
4876,G0433002004,"(elisa) technique, hiv-1 and/or hiv-2, screening"
4877,G0434001003,"Drug screen, other than chromatographic; any number of drug classes, by clia"
4878,G0434002004,"waived test or moderate complexity test, per patient encounter"
4879,G0435001003,"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2,"
4880,G0435002004,screening
4881,G0436001003,Smoking and tobacco cessation counseling visit for the asymptomatic patient;
4882,G0436002004,"intermediate, greater than 3 minutes, up to 10 minutes"
4883,G0437001003,Smoking and tobacco cessation counseling visit for the asymptomatic patient;
4884,G0437002004,"intensive, greater than 10 minutes"
4885,G0438001003,Annual wellness visit; includes a personalized prevention plan of service
4886,G0438002004,"(pps), initial visit"
4887,G0439001003,"Annual wellness visit, includes a personalized prevention plan of service"
4888,G0439002004,"(pps), subsequent visit"
4889,G0442001003,"Annual alcohol misuse screening, 5 to 15 minutes"
4890,G0443001003,"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes"
4891,G0444001003,"Annual depression screening, 5 to 15 minutes"
4892,G0445001003,High intensity behavioral counseling to prevent sexually transmitted infection;
4893,G0445002004,"face-to-face, individual, includes: education, skills training and guidance on"
4894,G0445003004,"how to change sexual behavior; performed semi-annually, 30 minutes"
4895,G0446001003,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease,"
4896,G0446002004,"individual, 15 minutes"
4897,G0447001003,"Face-to-face behavioral counseling for obesity, 15 minutes"
4898,G0448001003,Insertion or replacement of a permanent pacing cardioverter-defibrillator
4899,G0448002004,"system with transvenous lead(s), single or dual chamber with insertion of"
4900,G0448003004,"pacing electrode, cardiac venous system, for left ventricular pacing"
4901,G0451001003,"Development testing, with interpretation and report, per standardized"
4902,G0451002004,instrument form
4903,G0452001003,Molecular pathology procedure; physician interpretation and report
4904,G0453001003,"Continuous intraoperative neurophysiology monitoring, from outside the"
4905,G0453002004,"operating room (remote or nearby), per patient, (attention directed exclusively"
4906,G0453003004,to one patient) each 15 minutes (list in addition to primary procedure)
4907,G0454001003,Physician documentation of face-to-face visit for durable medical equipment
4908,G0454002004,"determination performed by nurse practitioner, physician assistant or clinical"
4909,G0454003004,nurse specialist
4910,G0455001003,"Preparation with instillation of fecal microbiota by any method, including"
4911,G0455002004,assessment of donor specimen
4912,G0456001003,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection)"
4913,G0456002004,"using a mechanically-powered device, not durable medical equipment, including"
4914,G0456003004,"provision of cartridge and dressing(s), topical application(s), wound"
4915,G0456004004,"assessment, and instructions for ongoing care, per session; total wounds(s)"
4916,G0456005004,surface area less than or equal to 50 square centimeters
4917,G0457001003,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection)"
4918,G0457002004,"using a mechanically-powered device, not durable medical equipment, including"
4919,G0457003004,"provision of cartridge and dressing(s), topical application(s), wound"
4920,G0457004004,"assessment, and instructions for ongoing care, per session; total wounds(s)"
4921,G0457005004,surface area greater than 50 square centimeters
4922,G0458001003,"Low dose rate (ldr) prostate brachytherapy services, composite rate"
4923,G0459001003,"Inpatient telehealth pharmacologic management, including prescription, use, and"
4924,G0459002004,review of medication with no more than minimal medical psychotherapy
4925,G0460001003,Autologous platelet rich plasma or other blood-derived product for non-diabetic
4926,G0460002004,"chronic wounds/ulcers, including as applicable phlebotomy, centrifugation or"
4927,G0460003004,"mixing, and all other preparatory procedures, administration and dressings, per"
4928,G0460004004,treatment
4929,G0461001003,"Immunohistochemistry or immunocytochemistry, per specimen; first single or"
4930,G0461002004,multiplex antibody stain
4931,G0462001003,"Immunohistochemistry or immunocytochemistry, per specimen; each additional"
4932,G0462002004,single or multiplex antibody stain (list separately in addition to code for
4933,G0462003004,primary procedure)
4934,G0463001003,Hospital outpatient clinic visit for assessment and management of a patient
4935,G0464001003,"Colorectal cancer screening; stool-based dna and fecal occult hemoglobin (e.g.,"
4936,G0464002004,"kras, ndrg4 and bmp3)"
4937,G0465001003,Autologous platelet rich plasma (prp) or other blood-derived product for
4938,G0465002004,"diabetic chronic wounds/ulcers, using an fda-cleared device for this"
4939,G0465003004,"indication, (includes as applicable administration, dressings, phlebotomy,"
4940,G0465004004,"centrifugation or mixing, and all other preparatory procedures, per treatment)"
4941,G0466001003,"Federally qualified health center (fqhc) visit, new patient; a"
4942,G0466002004,"medically-necessary, face-to-face encounter (one-on-one) between a new patient"
4943,G0466003004,and a fqhc practitioner during which time one or more fqhc services are
4944,G0466004004,rendered and includes a typical bundle of medicare-covered services that would
4945,G0466005004,be furnished per diem to a patient receiving a fqhc visit
4946,G0467001003,"Federally qualified health center (fqhc) visit, established patient; a"
4947,G0467002004,"medically-necessary, face-to-face encounter (one-on-one) between an established"
4948,G0467003004,patient and a fqhc practitioner during which time one or more fqhc services are
4949,G0467004004,rendered and includes a typical bundle of medicare-covered services that would
4950,G0467005004,be furnished per diem to a patient receiving a fqhc visit
4951,G0468001003,"Federally qualified health center (fqhc) visit, ippe or awv; a fqhc visit that"
4952,G0468002004,includes an initial preventive physical examination (ippe) or annual wellness
4953,G0468003004,visit (awv) and includes a typical bundle of medicare-covered services that
4954,G0468004004,would be furnished per diem to a patient receiving an ippe or awv
4955,G0469001003,"Federally qualified health center (fqhc) visit, mental health, new patient; a"
4956,G0469002004,"medically-necessary, face-to-face mental health encounter (one-on-one) between"
4957,G0469003004,a new patient and a fqhc practitioner during which time one or more fqhc
4958,G0469004004,services are rendered and includes a typical bundle of medicare-covered
4959,G0469005004,services that would be furnished per diem to a patient receiving a mental
4960,G0469006004,health visit
4961,G0470001003,"Federally qualified health center (fqhc) visit, mental health, established"
4962,G0470002004,"patient; a medically-necessary, face-to-face mental health encounter"
4963,G0470003004,(one-on-one) between an established patient and a fqhc practitioner during
4964,G0470004004,which time one or more fqhc services are rendered and includes a typical bundle
4965,G0470005004,of medicare-covered services that would be furnished per diem to a patient
4966,G0470006004,receiving a mental health visit
4967,G0471001003,Collection of venous blood by venipuncture or urine sample by catheterization
4968,G0471002004,from an individual in a skilled nursing facility (snf) or by a laboratory on
4969,G0471003004,behalf of a home health agency (hha)
4970,G0472001003,"Hepatitis c antibody screening, for individual at high risk and other covered"
4971,G0472002004,indication(s)
4972,G0473001003,"Face-to-face behavioral counseling for obesity, group (2-10), 30 minutes"
4973,G0475001003,"Hiv antigen/antibody, combination assay, screening"
4974,G0476001003,Infectious agent detection by nucleic acid (dna or rna); human papillomavirus
4975,G0476002004,"(hpv), high-risk types (e.g., 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59,"
4976,G0476003004,"68) for cervical cancer screening, must be performed in addition to pap test"
4977,G0477001003,"Drug test(s), presumptive, any number of drug classes; any number of devices or"
4978,G0477002004,"procedures, (e.g., immunoassay) capable of being read by direct optical"
4979,G0477003004,"observation only (e.g., dipsticks, cups, cards, cartridges), includes sample"
4980,G0477004004,"validation when performed, per date of service"
4981,G0478001003,"Drug test(s), presumptive, any number of drug classes; any number of devices or"
4982,G0478002004,"procedures, (e.g., immunoassay) read by instrument-assisted direct optical"
4983,G0478003004,"observation (e.g., dipsticks, cups, cards, cartridges), includes sample"
4984,G0478004004,"validation when performed, per date of service"
4985,G0479001003,"Drug test(s), presumptive, any number of drug classes; any number of devices or"
4986,G0479002004,"procedures by instrumented chemistry analyzers utilizing immunoassay, enzyme"
4987,G0479003004,"assay, tof, maldi, ldtd, desi, dart, ghpc, gc mass spectrometry), includes"
4988,G0479004004,"sample validation when performed, per date of service"
4989,G0480001003,"Drug test(s), definitive, utilizing (1) drug identification methods able to"
4990,G0480002004,identify individual drugs and distinguish between structural isomers (but not
4991,G0480003004,"necessarily stereoisomers), including, but not limited to gc/ms (any type,"
4992,G0480004004,"single or tandem) and lc/ms (any type, single or tandem and excluding"
4993,G0480005004,"immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g.,"
4994,G0480006004,"alcohol dehydrogenase)), (2) stable isotope or other universally recognized"
4995,G0480007004,"internal standards in all samples (e.g., to control for matrix effects,"
4996,G0480008004,"interferences and variations in signal strength), and (3) method or"
4997,G0480009004,"drug-specific calibration and matrix-matched quality control material (e.g., to"
4998,G0480010004,control for instrument variations and mass spectral drift); qualitative or
4999,G0480011004,"quantitative, all sources, includes specimen validity testing, per day; 1-7"
5000,G0480012004,"drug class(es), including metabolite(s) if performed"
5001,G0481001003,"Drug test(s), definitive, utilizing (1) drug identification methods able to"
5002,G0481002004,identify individual drugs and distinguish between structural isomers (but not
5003,G0481003004,"necessarily stereoisomers), including, but not limited to gc/ms (any type,"
5004,G0481004004,"single or tandem) and lc/ms (any type, single or tandem and excluding"
5005,G0481005004,"immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g.,"
5006,G0481006004,"alcohol dehydrogenase)), (2) stable isotope or other universally recognized"
5007,G0481007004,"internal standards in all samples (e.g., to control for matrix effects,"
5008,G0481008004,"interferences and variations in signal strength), and (3) method or"
5009,G0481009004,"drug-specific calibration and matrix-matched quality control material (e.g., to"
5010,G0481010004,control for instrument variations and mass spectral drift); qualitative or
5011,G0481011004,"quantitative, all sources, includes specimen validity testing, per day; 8-14"
5012,G0481012004,"drug class(es), including metabolite(s) if performed"
5013,G0482001003,"Drug test(s), definitive, utilizing (1) drug identification methods able to"
5014,G0482002004,identify individual drugs and distinguish between structural isomers (but not
5015,G0482003004,"necessarily stereoisomers), including, but not limited to gc/ms (any type,"
5016,G0482004004,"single or tandem) and lc/ms (any type, single or tandem and excluding"
5017,G0482005004,"immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g.,"
5018,G0482006004,"alcohol dehydrogenase)), (2) stable isotope or other universally recognized"
5019,G0482007004,"internal standards in all samples (e.g., to control for matrix effects,"
5020,G0482008004,"interferences and variations in signal strength), and (3) method or"
5021,G0482009004,"drug-specific calibration and matrix-matched quality control material (e.g., to"
5022,G0482010004,control for instrument variations and mass spectral drift); qualitative or
5023,G0482011004,"quantitative, all sources, includes specimen validity testing, per day; 15-21"
5024,G0482012004,"drug class(es), including metabolite(s) if performed"
5025,G0483001003,"Drug test(s), definitive, utilizing (1) drug identification methods able to"
5026,G0483002004,identify individual drugs and distinguish between structural isomers (but not
5027,G0483003004,"necessarily stereoisomers), including, but not limited to gc/ms (any type,"
5028,G0483004004,"single or tandem) and lc/ms (any type, single or tandem and excluding"
5029,G0483005004,"immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g.,"
5030,G0483006004,"alcohol dehydrogenase)), (2) stable isotope or other universally recognized"
5031,G0483007004,"internal standards in all samples (e.g., to control for matrix effects,"
5032,G0483008004,"interferences and variations in signal strength), and (3) method or"
5033,G0483009004,"drug-specific calibration and matrix-matched quality control material (e.g., to"
5034,G0483010004,control for instrument variations and mass spectral drift); qualitative or
5035,G0483011004,"quantitative, all sources, includes specimen validity testing, per day; 22 or"
5036,G0483012004,"more drug class(es), including metabolite(s) if performed"
5037,G0490001003,Face-to-face home health nursing visit by a rural health clinic (rhc) or
5038,G0490002004,federally qualified health center (fqhc) in an area with a shortage of home
5039,G0490003004,health agencies;  (services limited to rn or lpn only)
5040,G0491001003,Dialysis procedure at a medicare certified esrd facility for acute kidney
5041,G0491002004,injury without esrd
5042,G0492001003,Dialysis procedure with single evaluation by a physician or other qualified
5043,G0492002004,health care professional  for acute kidney injury without esrd
5044,G0493001003,Skilled services of a registered nurse (rn) for the observation and assessment
5045,G0493002004,"of the patient's condition, each 15 minutes (the change in the patient's"
5046,G0493003004,condition requires skilled nursing personnel to identify and evaluate the
5047,G0493004004,patient's need for possible modification of treatment in the home health or
5048,G0493005004,hospice setting)
5049,G0494001003,Skilled services of a licensed practical nurse (lpn) for the observation and
5050,G0494002004,"assessment of the patient's condition, each 15 minutes (the change in the"
5051,G0494003004,patient's condition requires skilled nursing personnel to identify and evaluate
5052,G0494004004,the patient's need for possible modification of treatment in the home health or
5053,G0494005004,hospice setting)
5054,G0495001003,"Skilled services of a registered nurse (rn), in the training and/or education"
5055,G0495002004,"of a patient or family member, in the home health or hospice setting, each 15"
5056,G0495003004,minutes
5057,G0496001003,"Skilled services of a licensed practical nurse (lpn), in the training and/or"
5058,G0496002004,"education of a patient or family member, in the home health or hospice setting,"
5059,G0496003004,each 15 minutes
5060,G0498001003,"Chemotherapy administration, intravenous infusion technique; initiation of"
5061,G0498002004,"infusion in the office/clinic setting using office/clinic pump/supplies, with"
5062,G0498003004,"continuation of the infusion in the community setting (e.g., home, domiciliary,"
5063,G0498004004,rest home or assisted living) using a portable pump provided by the
5064,G0498005004,"office/clinic, includes follow up office/clinic visit at the conclusion of the"
5065,G0498006004,infusion
5066,G0499001003,"Hepatitis b screening in non-pregnant, high risk individual includes hepatitis"
5067,G0499002004,"b surface antigen (hbsag), antibodies to hbsag (anti-hbs) and antibodies to"
5068,G0499003004,"hepatitis b core antigen (anti-hbc), and is followed by a neutralizing"
5069,G0499004004,"confirmatory test, when performed, only for an initially reactive hbsag result"
5070,G0500001003,Moderate sedation services provided by the same physician or other qualified
5071,G0500002004,health care professional performing a gastrointestinal endoscopic service that
5072,G0500003004,"sedation supports, requiring the presence of an independent trained observer to"
5073,G0500004004,assist in the monitoring of the patient's level of consciousness and
5074,G0500005004,physiological status; initial 15 minutes of intra-service time; patient age 5
5075,G0500006004,"years or older (additional time may be reported with 99153, as appropriate)"
5076,G0501001003,Resource-intensive services for patients for whom the use of specialized
5077,G0501002004,"mobility-assistive technology (such as adjustable height chairs or tables,"
5078,G0501003004,"patient lift, and adjustable padded leg supports) is medically necessary and"
5079,G0501004004,"used during the provision of an office/outpatient, evaluation and management"
5080,G0501005004,visit (list separately in addition to primary service)
5081,G0502001003,"Initial psychiatric collaborative care management, first 70 minutes in the"
5082,G0502002004,"first calendar month of behavioral health care manager activities, in"
5083,G0502003004,"consultation with a psychiatric consultant, and directed by the treating"
5084,G0502004004,"physician or other qualified health care professional, with the following"
5085,G0502005004,required elements: outreach to and engagement in treatment of a patient
5086,G0502006004,directed by the treating physician or other qualified health care professional;
5087,G0502007004,"initial assessment of the patient, including administration of validated rating"
5088,G0502008004,"scales, with the development of an individualized treatment plan;  review by"
5089,G0502009004,the psychiatric consultant with modifications of the plan if recommended;
5090,G0502010004,entering patient in a registry and tracking patient follow-up and progress
5091,G0502011004,"using the registry, with appropriate documentation, and participation in weekly"
5092,G0502012004,caseload consultation with the psychiatric consultant; and provision of brief
5093,G0502013004,"interventions using evidence-based techniques such as behavioral activation,"
5094,G0502014004,"motivational interviewing, and other focused treatment strategies"
5095,G0503001003,"Subsequent psychiatric collaborative care management, first 60 minutes in a"
5096,G0503002004,"subsequent month of behavioral health care manager activities, in consultation"
5097,G0503003004,"with a psychiatric consultant, and directed by the treating physician or other"
5098,G0503004004,"qualified health care professional, with the following required elements:"
5099,G0503005004,"tracking patient follow-up and progress using the registry, with appropriate"
5100,G0503006004,documentation;  participation in weekly caseload consultation with the
5101,G0503007004,psychiatric consultant;  ongoing collaboration with and coordination of the
5102,G0503008004,patient's mental health care with the treating physician or other qualified
5103,G0503009004,health care professional and any other treating mental health providers;
5104,G0503010004,"additional review of progress and recommendations for changes in treatment, as"
5105,G0503011004,"indicated, including medications, based on recommendations provided by the"
5106,G0503012004,psychiatric consultant;  provision of brief interventions using evidence-based
5107,G0503013004,"techniques such as behavioral activation, motivational interviewing, and other"
5108,G0503014004,focused treatment strategies;  monitoring of patient outcomes using validated
5109,G0503015004,rating scales; and relapse prevention planning with patients as they achieve
5110,G0503016004,remission of symptoms and/or other treatment goals and are prepared for
5111,G0503017004,discharge from active treatment
5112,G0504001003,"Initial or subsequent psychiatric collaborative care management, each"
5113,G0504002004,additional 30 minutes in a calendar month of behavioral health care manager
5114,G0504003004,"activities, in consultation with a psychiatric consultant, and directed by the"
5115,G0504004004,treating physician or other qualified health care professional (list separately
5116,G0504005004,in addition to code for primary procedure);  (use g0504 in conjunction with
5117,G0504006004,"g0502, g0503)"
5118,G0505001003,Cognition and functional assessment using standardized instruments with
5119,G0505002004,"development of recorded care plan for the patient with cognitive impairment,"
5120,G0505003004,"history obtained from patient and/or caregiver, in office or other outpatient"
5121,G0505004004,setting or home or domiciliary or rest home
5122,G0506001003,Comprehensive assessment of and care planning for patients requiring chronic
5123,G0506002004,care management services (list separately in addition to primary monthly care
5124,G0506003004,management service)
5125,G0507001003,"Care management services for behavioral health conditions, at least 20 minutes"
5126,G0507002004,"of clinical staff time, directed by a physician or other qualified health care"
5127,G0507003004,"professional, per calendar month, with the following required elements: initial"
5128,G0507004004,"assessment or follow-up monitoring, including the use of applicable validated"
5129,G0507005004,rating scales; behavioral health care planning in relation to
5130,G0507006004,"behavioral/psychiatric health problems, including revision for patients who are"
5131,G0507007004,not progressing or whose status changes; facilitating and coordinating
5132,G0507008004,"treatment such as psychotherapy, pharmacotherapy, counseling and/or psychiatric"
5133,G0507009004,consultation; and continuity of care with a designated member of the care team
5134,G0508001003,"Telehealth consultation, critical care, initial , physicians typically spend 60"
5135,G0508002004,minutes communicating with the patient and providers via telehealth
5136,G0509001003,"Telehealth consultation, critical care, subsequent, physicians typically spend"
5137,G0509002004,50 minutes communicating with the patient and providers via telehealth
5138,G0511001003,"Rural health clinic or federally qualified health center (rhc or fqhc) only,"
5139,G0511002004,"general care management, 20 minutes or more of clinical staff time for chronic"
5140,G0511003004,care management services or behavioral health integration services directed by
5141,G0511004004,"an rhc or fqhc practitioner (physician, np, pa, or cnm), per calendar month"
5142,G0512001003,"Rural health clinic or federally qualified health center (rhc/fqhc) only,"
5143,G0512002004,"psychiatric collaborative care model (psychiatric cocm), 60 minutes or more of"
5144,G0512003004,clinical staff time for psychiatric cocm services directed by an rhc or fqhc
5145,G0512004004,"practitioner (physician, np, pa, or cnm) and including services furnished by a"
5146,G0512005004,"behavioral health care manager and consultation with a psychiatric consultant,"
5147,G0512006004,per calendar month
5148,G0513001003,Prolonged preventive service(s) (beyond the typical service time of the primary
5149,G0513002004,"procedure), in the office or other outpatient setting requiring direct patient"
5150,G0513003004,contact beyond the usual service; first 30 minutes (list separately in addition
5151,G0513004004,to code for preventive service)
5152,G0514001003,Prolonged preventive service(s) (beyond the typical service time of the primary
5153,G0514002004,"procedure), in the office or other outpatient setting requiring direct patient"
5154,G0514003004,contact beyond the usual service; each additional 30 minutes (list separately
5155,G0514004004,in addition to code g0513 for additional 30 minutes of preventive service)
5156,G0515001003,"Development of cognitive skills to improve attention, memory, problem solving"
5157,G0515002004,"(includes compensatory training), direct (one-on-one) patient contact, each 15"
5158,G0515003004,minutes
5159,G0516001003,"Insertion of non-biodegradable drug delivery implants, 4 or more (services for"
5160,G0516002004,subdermal rod implant)
5161,G0517001003,"Removal of non-biodegradable drug delivery implants, 4 or more (services for"
5162,G0517002004,subdermal implants)
5163,G0518001003,"Removal with reinsertion, non-biodegradable drug delivery implants, 4 or more"
5164,G0518002004,(services for subdermal implants)
5165,G0519001003,"Management of new patient-caregiver dyad with dementia, low complexity, for use"
5166,G0519002004,in cmmi model
5167,G0520001003,"Management of new patient-caregiver dyad with dementia, moderate complexity,"
5168,G0520002004,for use in cmmi model
5169,G0521001003,"Management of new patient-caregiver dyad with dementia, high complexity, for"
5170,G0521002004,use in cmmi model
5171,G0522001003,"Management of a new patient with dementia, low complexity, for use in cmmi mode"
5172,G0523001003,"Management of a new patient with dementia, moderate to high complexity, for use"
5173,G0523002004,in cmmi model
5174,G0524001003,"Management of established patient-caregiver dyad with dementia, low complexity,"
5175,G0524002004,for use in cmmi model
5176,G0525001003,"Management of established patient-caregiver dyad with dementia, moderate"
5177,G0525002004,"complexity, for use in cmmi model"
