,code,description,category,last_updated
3391,H258,Other senile cataract,Senile cataract,2025-09-07
3392,H259,"Senile cataract, unspecified",Senile cataract,2025-09-07
3393,H26,Other cataract,Other cataract,2025-09-07
3394,H260,"Infantile, juvenile and presenile cataract",Other cataract,2025-09-07
3395,H261,Traumatic cataract,Other cataract,2025-09-07
3396,H262,Complicated cataract,Other cataract,2025-09-07
3397,H263,Drug-induced cataract,Other cataract,2025-09-07
3398,H264,After-cataract,Other cataract,2025-09-07
3399,H268,Other specified cataract,Other cataract,2025-09-07
3400,H269,"Cataract, unspecified",Other cataract,2025-09-07
3401,H27,Other disorders of lens,Other disorders of lens,2025-09-07
3402,H270,Aphakia,Other disorders of lens,2025-09-07
3403,H271,Dislocation of lens,Other disorders of lens,2025-09-07
3404,H278,Other specified disorders of lens,Other disorders of lens,2025-09-07
3405,H279,"Disorder of lens, unspecified",Other disorders of lens,2025-09-07
3406,H28,Cataract and other disorders of lens in diseases classified elsewhere,Cataract and other disorders of lens in diseases classified elsewhere,2025-09-07
3407,H280,Diabetic cataract,Cataract and other disorders of lens in diseases classified elsewhere,2025-09-07
3408,H281,"Cataract in other endocrine, nutritional and metabolic diseases",Cataract and other disorders of lens in diseases classified elsewhere,2025-09-07
3409,H282,Cataract in other diseases classified elsewhere,Cataract and other disorders of lens in diseases classified elsewhere,2025-09-07
3410,H288,Other disorders of lens in diseases classified elsewhere,Cataract and other disorders of lens in diseases classified elsewhere,2025-09-07
3411,H30,Chorioretinal inflammation,Chorioretinal inflammation,2025-09-07
3412,H300,Focal chorioretinal inflammation,Chorioretinal inflammation,2025-09-07
3413,H301,Disseminated chorioretinal inflammation,Chorioretinal inflammation,2025-09-07
3414,H302,Posterior cyclitis,Chorioretinal inflammation,2025-09-07
3415,H308,Other chorioretinal inflammations,Chorioretinal inflammation,2025-09-07
3416,H309,"Chorioretinal inflammation, unspecified",Chorioretinal inflammation,2025-09-07
3417,H31,Other disorders of choroid,Other disorders of choroid,2025-09-07
3418,H310,Chorioretinal scars,Other disorders of choroid,2025-09-07
3419,H311,Choroidal degeneration,Other disorders of choroid,2025-09-07
3420,H312,Hereditary choroidal dystrophy,Other disorders of choroid,2025-09-07
3421,H313,Choroidal haemorrhage and rupture,Other disorders of choroid,2025-09-07
3422,H314,Choroidal detachment,Other disorders of choroid,2025-09-07
3423,H318,Other specified disorders of choroid,Other disorders of choroid,2025-09-07
3424,H319,"Disorder of choroid, unspecified",Other disorders of choroid,2025-09-07
3425,H32,Chorioretinal disorders in diseases classified elsewhere,Chorioretinal disorders in diseases classified elsewhere,2025-09-07
3426,H320,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere,Chorioretinal disorders in diseases classified elsewhere,2025-09-07
3427,H328,Other chorioretinal disorders in diseases classified elsewhere,Chorioretinal disorders in diseases classified elsewhere,2025-09-07
3428,H33,Retinal detachments and breaks,Retinal detachments and breaks,2025-09-07
3429,H330,Retinal detachment with retinal break,Retinal detachments and breaks,2025-09-07
3430,H331,Retinoschisis and retinal cysts,Retinal detachments and breaks,2025-09-07
3431,H332,Serous retinal detachment,Retinal detachments and breaks,2025-09-07
3432,H333,Retinal breaks without detachment,Retinal detachments and breaks,2025-09-07
3433,H334,Traction detachment of retina,Retinal detachments and breaks,2025-09-07
3434,H335,Other retinal detachments,Retinal detachments and breaks,2025-09-07
3435,H34,Retinal vascular occlusions,Retinal vascular occlusions,2025-09-07
3436,H340,Transient retinal artery occlusion,Retinal vascular occlusions,2025-09-07
3437,H341,Central retinal artery occlusion,Retinal vascular occlusions,2025-09-07
3438,H342,Other retinal artery occlusions,Retinal vascular occlusions,2025-09-07
3439,H348,Other retinal vascular occlusions,Retinal vascular occlusions,2025-09-07
3440,H349,"Retinal vascular occlusion, unspecified",Retinal vascular occlusions,2025-09-07
3441,H35,Other retinal disorders,Other retinal disorders,2025-09-07
3442,H350,Background retinopathy and retinal vascular changes,Other retinal disorders,2025-09-07
3443,H351,Retinopathy of prematurity,Other retinal disorders,2025-09-07
3444,H352,Other proliferative retinopathy,Other retinal disorders,2025-09-07
3445,H353,Degeneration of macula and posterior pole,Other retinal disorders,2025-09-07
3446,H354,Peripheral retinal degeneration,Other retinal disorders,2025-09-07
3447,H355,Hereditary retinal dystrophy,Other retinal disorders,2025-09-07
3448,H356,Retinal haemorrhage,Other retinal disorders,2025-09-07
3449,H357,Separation of retinal layers,Other retinal disorders,2025-09-07
3450,H358,Other specified retinal disorders,Other retinal disorders,2025-09-07
3451,H359,"Retinal disorder, unspecified",Other retinal disorders,2025-09-07
3452,H36,Retinal disorders in diseases classified elsewhere,Retinal disorders in diseases classified elsewhere,2025-09-07
3453,H360,Diabetic retinopathy,Retinal disorders in diseases classified elsewhere,2025-09-07
3454,H368,Other retinal disorders in diseases classified elsewhere,Retinal disorders in diseases classified elsewhere,2025-09-07
3455,H40,Glaucoma,Glaucoma,2025-09-07
3456,H400,Glaucoma suspect,Glaucoma,2025-09-07
3457,H401,Primary open-angle glaucoma,Glaucoma,2025-09-07
3458,H402,Primary angle-closure glaucoma,Glaucoma,2025-09-07
3459,H403,Glaucoma secondary to eye trauma,Glaucoma,2025-09-07
3460,H404,Glaucoma secondary to eye inflammation,Glaucoma,2025-09-07
3461,H405,Glaucoma secondary to other eye disorders,Glaucoma,2025-09-07
3462,H406,Glaucoma secondary to drugs,Glaucoma,2025-09-07
3463,H408,Other glaucoma,Glaucoma,2025-09-07
3464,H409,"Glaucoma, unspecified",Glaucoma,2025-09-07
3465,H42,Glaucoma in diseases classified elsewhere,Glaucoma in diseases classified elsewhere,2025-09-07
3466,H420,"Glaucoma in endocrine, nutritional and metabolic diseases",Glaucoma in diseases classified elsewhere,2025-09-07
3467,H428,Glaucoma in other diseases classified elsewhere,Glaucoma in diseases classified elsewhere,2025-09-07
3468,H43,Disorders of vitreous body,Disorders of vitreous body,2025-09-07
3469,H430,Vitreous prolapse,Disorders of vitreous body,2025-09-07
3470,H431,Vitreous haemorrhage,Disorders of vitreous body,2025-09-07
3471,H432,Crystalline deposits in vitreous body,Disorders of vitreous body,2025-09-07
3472,H433,Other vitreous opacities,Disorders of vitreous body,2025-09-07
3473,H438,Other disorders of vitreous body,Disorders of vitreous body,2025-09-07
3474,H439,"Disorder of vitreous body, unspecified",Disorders of vitreous body,2025-09-07
3475,H44,Disorders of globe,Disorders of globe,2025-09-07
3476,H440,Purulent endophthalmitis,Disorders of globe,2025-09-07
3477,H441,Other endophthalmitis,Disorders of globe,2025-09-07
3478,H442,Degenerative myopia,Disorders of globe,2025-09-07
3479,H443,Other degenerative disorders of globe,Disorders of globe,2025-09-07
3480,H444,Hypotony of eye,Disorders of globe,2025-09-07
3481,H445,Degenerated conditions of globe,Disorders of globe,2025-09-07
3482,H446,"Retained (old) intraocular foreign body, magnetic",Disorders of globe,2025-09-07
3483,H447,"Retained (old) intraocular foreign body, nonmagnetic",Disorders of globe,2025-09-07
3484,H448,Other disorders of globe,Disorders of globe,2025-09-07
3485,H449,"Disorder of globe, unspecified",Disorders of globe,2025-09-07
3486,H45,Disorders of vitreous body and globe in diseases classified elsewhere,Disorders of vitreous body and globe in diseases classified elsewhere,2025-09-07
3487,H450,Vitreous haemorrhage in diseases classified elsewhere,Disorders of vitreous body and globe in diseases classified elsewhere,2025-09-07
3488,H451,Endophthalmitis in diseases classified elsewhere,Disorders of vitreous body and globe in diseases classified elsewhere,2025-09-07
3489,H458,Other disorders of vitreous body and globe in diseases classified elsewhere,Disorders of vitreous body and globe in diseases classified elsewhere,2025-09-07
3490,H46,Optic neuritis,Optic neuritis,2025-09-07
3491,H47,Other disorders of optic [2nd] nerve and visual pathways,Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3492,H470,"Disorders of optic nerve, not elsewhere classified",Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3493,H471,"Papilloedema, unspecified",Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3494,H472,Optic atrophy,Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3495,H473,Other disorders of optic disc,Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3496,H474,Disorders of optic chiasm,Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3497,H475,Disorders of other visual pathways,Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3498,H476,Disorders of visual cortex,Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3499,H477,"Disorder of visual pathways, unspecified",Other disorders of optic [2nd] nerve and visual pathways,2025-09-07
3500,H48,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,2025-09-07
3501,H480,Optic atrophy in diseases classified elsewhere,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,2025-09-07
3502,H481,Retrobulbar neuritis in diseases classified elsewhere,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,2025-09-07
3503,H488,Other disorders of optic nerve and visual pathways in diseases classified elsewhere,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,2025-09-07
3504,H49,Paralytic strabismus,Paralytic strabismus,2025-09-07
3505,H490,Third [oculomotor] nerve palsy,Paralytic strabismus,2025-09-07
3506,H491,Fourth [trochlear] nerve palsy,Paralytic strabismus,2025-09-07
3507,H492,Sixth [abducent] nerve palsy,Paralytic strabismus,2025-09-07
3508,H493,Total (external) ophthalmoplegia,Paralytic strabismus,2025-09-07
3509,H494,Progressive external ophthalmoplegia,Paralytic strabismus,2025-09-07
3510,H498,Other paralytic strabismus,Paralytic strabismus,2025-09-07
3511,H499,"Paralytic strabismus, unspecified",Paralytic strabismus,2025-09-07
3512,H50,Other strabismus,Other strabismus,2025-09-07
3513,H500,Convergent concomitant strabismus,Other strabismus,2025-09-07
3514,H501,Divergent concomitant strabismus,Other strabismus,2025-09-07
3515,H502,Vertical strabismus,Other strabismus,2025-09-07
3516,H503,Intermittent heterotropia,Other strabismus,2025-09-07
3517,H504,Other and unspecified heterotropia,Other strabismus,2025-09-07
3518,H505,Heterophoria,Other strabismus,2025-09-07
3519,H506,Mechanical strabismus,Other strabismus,2025-09-07
3520,H508,Other specified strabismus,Other strabismus,2025-09-07
3521,H509,"Strabismus, unspecified",Other strabismus,2025-09-07
3522,H51,Other disorders of binocular movement,Other disorders of binocular movement,2025-09-07
3523,H510,Palsy of conjugate gaze,Other disorders of binocular movement,2025-09-07
3524,H511,Convergence insufficiency and excess,Other disorders of binocular movement,2025-09-07
3525,H512,Internuclear ophthalmoplegia,Other disorders of binocular movement,2025-09-07
3526,H518,Other specified disorders of binocular movement,Other disorders of binocular movement,2025-09-07
3527,H519,"Disorder of binocular movement, unspecified",Other disorders of binocular movement,2025-09-07
3528,H52,Disorders of refraction and accommodation,Disorders of refraction and accommodation,2025-09-07
3529,H520,Hypermetropia,Disorders of refraction and accommodation,2025-09-07
3530,H521,Myopia,Disorders of refraction and accommodation,2025-09-07
3531,H522,Astigmatism,Disorders of refraction and accommodation,2025-09-07
3532,H523,Anisometropia and aniseikonia,Disorders of refraction and accommodation,2025-09-07
3533,H524,Presbyopia,Disorders of refraction and accommodation,2025-09-07
3534,H525,Disorders of accommodation,Disorders of refraction and accommodation,2025-09-07
3535,H526,Other disorders of refraction,Disorders of refraction and accommodation,2025-09-07
3536,H527,"Disorder of refraction, unspecified",Disorders of refraction and accommodation,2025-09-07
3537,H53,Visual disturbances,Visual disturbances,2025-09-07
3538,H530,Amblyopia ex anopsia,Visual disturbances,2025-09-07
3539,H531,Subjective visual disturbances,Visual disturbances,2025-09-07
3540,H532,Diplopia,Visual disturbances,2025-09-07
3541,H533,Other disorders of binocular vision,Visual disturbances,2025-09-07
3542,H534,Visual field defects,Visual disturbances,2025-09-07
3543,H535,Colour vision deficiencies,Visual disturbances,2025-09-07
3544,H536,Night blindness,Visual disturbances,2025-09-07
3545,H538,Other visual disturbances,Visual disturbances,2025-09-07
3546,H539,"Visual disturbance, unspecified",Visual disturbances,2025-09-07
3547,H54,Visual impairment including blindness (binocular or monocular),Visual impairment including blindness (binocular or monocular),2025-09-07
3548,H540,"Blindness, binocular",Visual impairment including blindness (binocular or monocular),2025-09-07
3549,H541,"Severe visual impairment, binocular",Visual impairment including blindness (binocular or monocular),2025-09-07
3550,H542,"Moderate visual impairment, binocular",Visual impairment including blindness (binocular or monocular),2025-09-07
3551,H543,"Mild or no visual impairment, binocular",Visual impairment including blindness (binocular or monocular),2025-09-07
3552,H544,"Blindness, monocular",Visual impairment including blindness (binocular or monocular),2025-09-07
3553,H545,"Severe visual impairment, monocular",Visual impairment including blindness (binocular or monocular),2025-09-07
3554,H546,"Moderate visual impairment, monocular",Visual impairment including blindness (binocular or monocular),2025-09-07
3555,H549,Unspecified visual impairment (binocular),Visual impairment including blindness (binocular or monocular),2025-09-07
3556,H55,Nystagmus and other irregular eye movements,Nystagmus and other irregular eye movements,2025-09-07
3557,H57,Other disorders of eye and adnexa,Other disorders of eye and adnexa,2025-09-07
3558,H570,Anomalies of pupillary function,Other disorders of eye and adnexa,2025-09-07
3559,H571,Ocular pain,Other disorders of eye and adnexa,2025-09-07
3560,H578,Other specified disorders of eye and adnexa,Other disorders of eye and adnexa,2025-09-07
3561,H579,"Disorder of eye and adnexa, unspecified",Other disorders of eye and adnexa,2025-09-07
3562,H58,Other disorders of eye and adnexa in diseases classified elsewhere,Other disorders of eye and adnexa in diseases classified elsewhere,2025-09-07
3563,H580,Anomalies of pupillary function in diseases classified elsewhere,Other disorders of eye and adnexa in diseases classified elsewhere,2025-09-07
3564,H581,Visual disturbances in diseases classified elsewhere,Other disorders of eye and adnexa in diseases classified elsewhere,2025-09-07
3565,H588,Other specified disorders of eye and adnexa in diseases classified elsewhere,Other disorders of eye and adnexa in diseases classified elsewhere,2025-09-07
3566,H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified","Postprocedural disorders of eye and adnexa, not elsewhere classified",2025-09-07
3567,H590,Keratopathy (bullous aphakic) following cataract surgery,"Postprocedural disorders of eye and adnexa, not elsewhere classified",2025-09-07
3568,H598,Other postprocedural disorders of eye and adnexa,"Postprocedural disorders of eye and adnexa, not elsewhere classified",2025-09-07
3569,H599,"Postprocedural disorder of eye and adnexa, unspecified","Postprocedural disorders of eye and adnexa, not elsewhere classified",2025-09-07
3570,H60,Otitis externa,Otitis externa,2025-09-07
3571,H600,Abscess of external ear,Otitis externa,2025-09-07
3572,H601,Cellulitis of external ear,Otitis externa,2025-09-07
3573,H602,Malignant otitis externa,Otitis externa,2025-09-07
3574,H603,Other infective otitis externa,Otitis externa,2025-09-07
3575,H604,Cholesteatoma of external ear,Otitis externa,2025-09-07
3576,H605,"Acute otitis externa, noninfective",Otitis externa,2025-09-07
3577,H608,Other otitis externa,Otitis externa,2025-09-07
3578,H609,"Otitis externa, unspecified",Otitis externa,2025-09-07
3579,H61,Other disorders of external ear,Other disorders of external ear,2025-09-07
3580,H610,Perichondritis of external ear,Other disorders of external ear,2025-09-07
3581,H611,Noninfective disorders of pinna,Other disorders of external ear,2025-09-07
3582,H612,Impacted cerumen,Other disorders of external ear,2025-09-07
3583,H613,Acquired stenosis of external ear canal,Other disorders of external ear,2025-09-07
3584,H618,Other specified disorders of external ear,Other disorders of external ear,2025-09-07
3585,H619,"Disorder of external ear, unspecified",Other disorders of external ear,2025-09-07
3586,H62,Disorders of external ear in diseases classified elsewhere,Disorders of external ear in diseases classified elsewhere,2025-09-07
3587,H620,Otitis externa in bacterial diseases classified elsewhere,Disorders of external ear in diseases classified elsewhere,2025-09-07
3588,H621,Otitis externa in viral diseases classified elsewhere,Disorders of external ear in diseases classified elsewhere,2025-09-07
3589,H622,Otitis externa in mycoses,Disorders of external ear in diseases classified elsewhere,2025-09-07
3590,H623,Otitis externa in other infectious and parasitic diseases classified elsewhere,Disorders of external ear in diseases classified elsewhere,2025-09-07
3591,H624,Otitis externa in other diseases classified elsewhere,Disorders of external ear in diseases classified elsewhere,2025-09-07
3592,H628,Other disorders of external ear in diseases classified elsewhere,Disorders of external ear in diseases classified elsewhere,2025-09-07
3593,H65,Nonsuppurative otitis media,Nonsuppurative otitis media,2025-09-07
3594,H650,Acute serous otitis media,Nonsuppurative otitis media,2025-09-07
3595,H651,Other acute nonsuppurative otitis media,Nonsuppurative otitis media,2025-09-07
3596,H652,Chronic serous otitis media,Nonsuppurative otitis media,2025-09-07
3597,H653,Chronic mucoid otitis media,Nonsuppurative otitis media,2025-09-07
3598,H654,Other chronic nonsuppurative otitis media,Nonsuppurative otitis media,2025-09-07
3599,H659,"Nonsuppurative otitis media, unspecified",Nonsuppurative otitis media,2025-09-07
3600,H66,Suppurative and unspecified otitis media,Suppurative and unspecified otitis media,2025-09-07
3601,H660,Acute suppurative otitis media,Suppurative and unspecified otitis media,2025-09-07
3602,H661,Chronic tubotympanic suppurative otitis media,Suppurative and unspecified otitis media,2025-09-07
3603,H662,Chronic atticoantral suppurative otitis media,Suppurative and unspecified otitis media,2025-09-07
3604,H663,Other chronic suppurative otitis media,Suppurative and unspecified otitis media,2025-09-07
3605,H664,"Suppurative otitis media, unspecified",Suppurative and unspecified otitis media,2025-09-07
3606,H669,"Otitis media, unspecified",Suppurative and unspecified otitis media,2025-09-07
3607,H67,Otitis media in diseases classified elsewhere,Otitis media in diseases classified elsewhere,2025-09-07
3608,H670,Otitis media in bacterial diseases classified elsewhere,Otitis media in diseases classified elsewhere,2025-09-07
3609,H671,Otitis media in viral diseases classified elsewhere,Otitis media in diseases classified elsewhere,2025-09-07
3610,H678,Otitis media in other diseases classified elsewhere,Otitis media in diseases classified elsewhere,2025-09-07
3611,H68,Eustachian salpingitis and obstruction,Eustachian salpingitis and obstruction,2025-09-07
3612,H680,Eustachian salpingitis,Eustachian salpingitis and obstruction,2025-09-07
3613,H681,Obstruction of Eustachian tube,Eustachian salpingitis and obstruction,2025-09-07
3614,H69,Other disorders of Eustachian tube,Other disorders of Eustachian tube,2025-09-07
3615,H690,Patulous Eustachian tube,Other disorders of Eustachian tube,2025-09-07
3616,H698,Other specified disorders of Eustachian tube,Other disorders of Eustachian tube,2025-09-07
3617,H699,"Eustachian tube disorder, unspecified",Other disorders of Eustachian tube,2025-09-07
3618,H70,Mastoiditis and related conditions,Mastoiditis and related conditions,2025-09-07
3619,H700,Acute mastoiditis,Mastoiditis and related conditions,2025-09-07
3620,H701,Chronic mastoiditis,Mastoiditis and related conditions,2025-09-07
3621,H702,Petrositis,Mastoiditis and related conditions,2025-09-07
3622,H708,Other mastoiditis and related conditions,Mastoiditis and related conditions,2025-09-07
3623,H709,"Mastoiditis, unspecified",Mastoiditis and related conditions,2025-09-07
3624,H71,Cholesteatoma of middle ear,Cholesteatoma of middle ear,2025-09-07
3625,H72,Perforation of tympanic membrane,Perforation of tympanic membrane,2025-09-07
3626,H720,Central perforation of tympanic membrane,Perforation of tympanic membrane,2025-09-07
3627,H721,Attic perforation of tympanic membrane,Perforation of tympanic membrane,2025-09-07
3628,H722,Other marginal perforations of tympanic membrane,Perforation of tympanic membrane,2025-09-07
3629,H728,Other perforations of tympanic membrane,Perforation of tympanic membrane,2025-09-07
3630,H729,"Perforation of tympanic membrane, unspecified",Perforation of tympanic membrane,2025-09-07
3631,H73,Other disorders of tympanic membrane,Other disorders of tympanic membrane,2025-09-07
3632,H730,Acute myringitis,Other disorders of tympanic membrane,2025-09-07
3633,H731,Chronic myringitis,Other disorders of tympanic membrane,2025-09-07
3634,H738,Other specified disorders of tympanic membrane,Other disorders of tympanic membrane,2025-09-07
3635,H739,"Disorder of tympanic membrane, unspecified",Other disorders of tympanic membrane,2025-09-07
3636,H74,Other disorders of middle ear and mastoid,Other disorders of middle ear and mastoid,2025-09-07
3637,H740,Tympanosclerosis,Other disorders of middle ear and mastoid,2025-09-07
3638,H741,Adhesive middle ear disease,Other disorders of middle ear and mastoid,2025-09-07
3639,H742,Discontinuity and dislocation of ear ossicles,Other disorders of middle ear and mastoid,2025-09-07
3640,H743,Other acquired abnormalities of ear ossicles,Other disorders of middle ear and mastoid,2025-09-07
3641,H744,Polyp of middle ear,Other disorders of middle ear and mastoid,2025-09-07
3642,H748,Other specified disorders of middle ear and mastoid,Other disorders of middle ear and mastoid,2025-09-07
3643,H749,"Disorder of middle ear and mastoid, unspecified",Other disorders of middle ear and mastoid,2025-09-07
3644,H75,Other disorders of middle ear and mastoid in diseases classified elsewhere,Other disorders of middle ear and mastoid in diseases classified elsewhere,2025-09-07
3645,H750,Mastoiditis in infectious and parasitic diseases classified elsewhere,Other disorders of middle ear and mastoid in diseases classified elsewhere,2025-09-07
3646,H758,Other specified disorders of middle ear and mastoid in diseases classified elsewhere,Other disorders of middle ear and mastoid in diseases classified elsewhere,2025-09-07
3647,H80,Otosclerosis,Otosclerosis,2025-09-07
3648,H800,"Otosclerosis involving oval window, nonobliterative",Otosclerosis,2025-09-07
3649,H801,"Otosclerosis involving oval window, obliterative",Otosclerosis,2025-09-07
3650,H802,Cochlear otosclerosis,Otosclerosis,2025-09-07
3651,H808,Other otosclerosis,Otosclerosis,2025-09-07
3652,H809,"Otosclerosis, unspecified",Otosclerosis,2025-09-07
3653,H81,Disorders of vestibular function,Disorders of vestibular function,2025-09-07
3654,H810,Ménière disease,Disorders of vestibular function,2025-09-07
3655,H811,Benign paroxysmal vertigo,Disorders of vestibular function,2025-09-07
3656,H812,Vestibular neuronitis,Disorders of vestibular function,2025-09-07
3657,H813,Other peripheral vertigo,Disorders of vestibular function,2025-09-07
3658,H814,Vertigo of central origin,Disorders of vestibular function,2025-09-07
3659,H818,Other disorders of vestibular function,Disorders of vestibular function,2025-09-07
3660,H819,"Disorder of vestibular function, unspecified",Disorders of vestibular function,2025-09-07
3661,H82,Vertiginous syndromes in diseases classified elsewhere,Vertiginous syndromes in diseases classified elsewhere,2025-09-07
3662,H83,Other diseases of inner ear,Other diseases of inner ear,2025-09-07
3663,H830,Labyrinthitis,Other diseases of inner ear,2025-09-07
3664,H831,Labyrinthine fistula,Other diseases of inner ear,2025-09-07
3665,H832,Labyrinthine dysfunction,Other diseases of inner ear,2025-09-07
3666,H833,Noise effects on inner ear,Other diseases of inner ear,2025-09-07
3667,H838,Other specified diseases of inner ear,Other diseases of inner ear,2025-09-07
3668,H839,"Disease of inner ear, unspecified",Other diseases of inner ear,2025-09-07
3669,H90,Conductive and sensorineural hearing loss,Conductive and sensorineural hearing loss,2025-09-07
3670,H900,"Conductive hearing loss, bilateral",Conductive and sensorineural hearing loss,2025-09-07
3671,H901,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",Conductive and sensorineural hearing loss,2025-09-07
3672,H902,"Conductive hearing loss, unspecified",Conductive and sensorineural hearing loss,2025-09-07
3673,H903,"Sensorineural hearing loss, bilateral",Conductive and sensorineural hearing loss,2025-09-07
3674,H904,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",Conductive and sensorineural hearing loss,2025-09-07
3675,H905,"Sensorineural hearing loss, unspecified",Conductive and sensorineural hearing loss,2025-09-07
3676,H906,"Mixed conductive and sensorineural hearing loss, bilateral",Conductive and sensorineural hearing loss,2025-09-07
3677,H907,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",Conductive and sensorineural hearing loss,2025-09-07
3678,H908,"Mixed conductive and sensorineural hearing loss, unspecified",Conductive and sensorineural hearing loss,2025-09-07
3679,H91,Other hearing loss,Other hearing loss,2025-09-07
3680,H910,Ototoxic hearing loss,Other hearing loss,2025-09-07
3681,H911,Presbycusis,Other hearing loss,2025-09-07
3682,H912,Sudden idiopathic hearing loss,Other hearing loss,2025-09-07
3683,H913,"Deaf mutism, not elsewhere classified",Other hearing loss,2025-09-07
3684,H918,Other specified hearing loss,Other hearing loss,2025-09-07
3685,H919,"Hearing loss, unspecified",Other hearing loss,2025-09-07
3686,H92,Otalgia and effusion of ear,Otalgia and effusion of ear,2025-09-07
3687,H920,Otalgia,Otalgia and effusion of ear,2025-09-07
3688,H921,Otorrhoea,Otalgia and effusion of ear,2025-09-07
3689,H922,Otorrhagia,Otalgia and effusion of ear,2025-09-07
3690,H93,"Other disorders of ear, not elsewhere classified","Other disorders of ear, not elsewhere classified",2025-09-07
3691,H930,Degenerative and vascular disorders of ear,"Other disorders of ear, not elsewhere classified",2025-09-07
3692,H931,Tinnitus,"Other disorders of ear, not elsewhere classified",2025-09-07
3693,H932,Other abnormal auditory perceptions,"Other disorders of ear, not elsewhere classified",2025-09-07
3694,H933,Disorders of acoustic nerve,"Other disorders of ear, not elsewhere classified",2025-09-07
3695,H938,Other specified disorders of ear,"Other disorders of ear, not elsewhere classified",2025-09-07
3696,H939,"Disorder of ear, unspecified","Other disorders of ear, not elsewhere classified",2025-09-07
3697,H94,Other disorders of ear in diseases classified elsewhere,Other disorders of ear in diseases classified elsewhere,2025-09-07
3698,H940,Acoustic neuritis in infectious and parasitic diseases classified elsewhere,Other disorders of ear in diseases classified elsewhere,2025-09-07
3699,H948,Other specified disorders of ear in diseases classified elsewhere,Other disorders of ear in diseases classified elsewhere,2025-09-07
3700,H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified","Postprocedural disorders of ear and mastoid process, not elsewhere classified",2025-09-07
3701,H950,Recurrent cholesteatoma of postmastoidectomy cavity,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",2025-09-07
3702,H951,Other disorders following mastoidectomy,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",2025-09-07
3703,H958,Other postprocedural disorders of ear and mastoid process,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",2025-09-07
3704,H959,"Postprocedural disorder of ear and mastoid process, unspecified","Postprocedural disorders of ear and mastoid process, not elsewhere classified",2025-09-07
3705,I00,Rheumatic fever without mention of heart involvement,Rheumatic fever without mention of heart involvement,2025-09-07
3706,I01,Rheumatic fever with heart involvement,Rheumatic fever with heart involvement,2025-09-07
3707,I010,Acute rheumatic pericarditis,Rheumatic fever with heart involvement,2025-09-07
3708,I011,Acute rheumatic endocarditis,Rheumatic fever with heart involvement,2025-09-07
3709,I012,Acute rheumatic myocarditis,Rheumatic fever with heart involvement,2025-09-07
3710,I018,Other acute rheumatic heart disease,Rheumatic fever with heart involvement,2025-09-07
3711,I019,"Acute rheumatic heart disease, unspecified",Rheumatic fever with heart involvement,2025-09-07
3712,I02,Rheumatic chorea,Rheumatic chorea,2025-09-07
3713,I020,Rheumatic chorea with heart involvement,Rheumatic chorea,2025-09-07
3714,I029,Rheumatic chorea without heart involvement,Rheumatic chorea,2025-09-07
3715,I05,Rheumatic mitral valve diseases,Rheumatic mitral valve diseases,2025-09-07
3716,I050,Mitral stenosis,Rheumatic mitral valve diseases,2025-09-07
3717,I051,Rheumatic mitral insufficiency,Rheumatic mitral valve diseases,2025-09-07
3718,I052,Mitral stenosis with insufficiency,Rheumatic mitral valve diseases,2025-09-07
3719,I058,Other mitral valve diseases,Rheumatic mitral valve diseases,2025-09-07
3720,I059,"Mitral valve disease, unspecified",Rheumatic mitral valve diseases,2025-09-07
3721,I06,Rheumatic aortic valve diseases,Rheumatic aortic valve diseases,2025-09-07
3722,I060,Rheumatic aortic stenosis,Rheumatic aortic valve diseases,2025-09-07
3723,I061,Rheumatic aortic insufficiency,Rheumatic aortic valve diseases,2025-09-07
3724,I062,Rheumatic aortic stenosis with insufficiency,Rheumatic aortic valve diseases,2025-09-07
3725,I068,Other rheumatic aortic valve diseases,Rheumatic aortic valve diseases,2025-09-07
3726,I069,"Rheumatic aortic valve disease, unspecified",Rheumatic aortic valve diseases,2025-09-07
3727,I07,Rheumatic tricuspid valve diseases,Rheumatic tricuspid valve diseases,2025-09-07
3728,I070,Tricuspid stenosis,Rheumatic tricuspid valve diseases,2025-09-07
